name,role,mgmt_ipv4,loopback_ipv4,loopback_ipv6,isis_net,startup_delay
P1,P,10.204.251.101,10.255.0.1/32,2001:db8:500:abcd::1/128,49.0001.0000.0000.0001.00,0
P2,P,10.204.251.102,10.255.0.2/32,2001:db8:500:abcd::2/128,49.0001.0000.0000.0002.00,60
P3,P,10.204.251.103,10.255.0.3/32,2001:db8:500:abcd::3/128,49.0001.0000.0000.0003.00,120
PE1,PE,10.204.251.111,10.255.0.11/32,2001:db8:500:abcd::11/128,49.0001.0000.0000.0011.00,180
PE2,PE,10.204.251.112,10.255.0.12/32,2001:db8:500:abcd::12/128,49.0001.0000.0000.0012.00,240
PE3,PE,10.204.251.113,10.255.0.13/32,2001:db8:500:abcd::13/128,49.0001.0000.0000.0013.00,300
RR1,RR,10.204.251.121,10.255.0.21/32,2001:db8:500:abcd::21/128,49.0001.0000.0000.0021.00,360
RR2,RR,10.204.251.122,10.255.0.22/32,2001:db8:500:abcd::22/128,49.0001.0000.0000.0022.00,420
